3 16.4189 -84.664 3.16747 -50.2794 2.93215 17.3949 -84.5758 16.4058 -84.418 3.19524 -49.295 2.83344 
3.05 16.5758 -87.1841 3.09701 -50.5863 2.93215 17.2845 -87.002 16.6179 -87.1145 3.13659 -49.87 2.86293 
3.1 16.7293 -89.7194 3.02771 -50.8797 2.93215 17.425 -88.7669 16.7732 -89.5344 3.06497 -50.0437 2.84893 
3.15 16.8793 -92.269 2.95959 -51.1601 2.93215 17.0234 -92.1985 16.9256 -92.22 2.99949 -50.5692 2.88121 
3.2 17.0259 -94.8324 2.89265 -51.4281 2.93215 17.9351 -94.8153 17.0936 -95.1187 2.9369 -51.3688 2.95504 
3.25 17.1692 -97.409 2.8269 -51.6842 2.93215 17.9421 -96.4851 17.2417 -97.4819 2.86932 -51.3428 2.9196 
3.3 17.3093 -99.9982 2.76234 -51.9288 2.93215 18.1962 -99.3033 17.4171 -99.9351 2.80963 -51.4293 2.89644 
3.35 17.4461 -102.599 2.69896 -52.1625 2.93215 18.4372 -102.52 17.5564 -102.762 2.7418 -52.1009 2.95509 
3.4 17.5798 -105.212 2.63678 -52.3855 2.93215 17.9923 -104.218 17.6972 -105.051 2.67556 -51.9041 2.89444 
3.45 17.7105 -107.836 2.57578 -52.5985 2.93215 18.6558 -106.948 17.858 -107.638 2.62374 -52.1004 2.88951 
3.5 17.838 -110.47 2.51596 -52.8017 2.93215 18.1946 -109.933 17.9856 -110.247 2.56148 -52.3103 2.88933 
3.55 17.9627 -113.114 2.45731 -52.9957 2.93215 18.0909 -113.104 18.1036 -113.093 2.49786 -52.896 2.94112 
3.6 18.0844 -115.767 2.39983 -53.1807 2.93215 18.8033 -114.867 18.2334 -115.696 2.43944 -53.0278 2.93276 
3.65 18.2032 -118.43 2.34351 -53.3572 2.93215 19.0009 -117.933 18.3655 -118.338 2.38347 -53.1986 2.93209 
3.7 18.3193 -121.101 2.28834 -53.5256 2.93215 19.1307 -120.612 18.5005 -121.073 2.33369 -53.4604 2.94402 
3.75 18.4326 -123.78 2.2343 -53.6862 2.93215 18.9383 -123.201 18.5805 -123.712 2.26792 -53.5683 2.93433 
3.8 18.5433 -126.468 2.18138 -53.8393 2.93215 19.2311 -125.808 18.7081 -126.35 2.21219 -53.6354 2.9197 
3.85 18.6513 -129.163 2.12958 -53.9852 2.93215 19.4415 -128.23 18.825 -128.971 2.16291 -53.7038 2.90643 
3.9 18.7568 -131.865 2.07888 -54.1244 2.93215 19.4626 -131.396 18.9324 -131.796 2.10645 -54.0495 2.93327 
3.95 18.8597 -134.574 2.02926 -54.257 2.93215 19.3446 -133.878 19.0288 -134.499 2.05499 -54.198 2.9357 
4 18.9602 -137.289 1.98072 -54.3834 2.93215 19.018 -136.941 19.0756 -137.224 1.9938 -54.3298 2.93329 
4.05 19.0583 -140.011 1.93323 -54.5038 2.93215 20.0089 -139.489 19.1802 -139.947 1.9468 -54.4609 2.93486 
4.1 19.154 -142.738 1.88678 -54.6186 2.93215 19.4808 -142.034 19.2707 -142.626 1.89647 -54.5323 2.9302 
4.15 19.2474 -145.471 1.84135 -54.7279 2.93215 19.9819 -144.928 19.3555 -145.347 1.84814 -54.6448 2.92963 
4.2 19.3386 -148.21 1.79694 -54.8321 2.93215 19.6935 -147.211 19.372 -147.823 1.78332 -54.337 2.87519 
4.25 19.4276 -150.953 1.75351 -54.9313 2.93215 20.2802 -150.8 19.4731 -150.694 1.75132 -54.701 2.91072 
4.3 19.5144 -153.702 1.71107 -55.0258 2.93215 19.6585 -153.439 19.5056 -153.742 1.69996 -55.3324 2.97939 
4.35 19.5991 -156.455 1.66958 -55.1158 2.93215 19.6079 -155.835 19.5584 -156.564 1.64095 -55.541 3.00077 
4.4 19.6818 -159.213 1.62903 -55.2015 2.93215 19.7038 -158.354 19.5786 -159.059 1.58623 -55.2231 2.94456 
4.45 19.7625 -161.974 1.58941 -55.2831 2.93215 19.9703 -161.211 19.6433 -161.786 1.54253 -55.2771 2.94212 
4.5 19.8411 -164.74 1.5507 -55.3608 2.93215 20.133 -164.252 19.7224 -164.598 1.50191 -55.4496 2.95499 
4.55 19.9179 -167.51 1.51288 -55.4348 2.93215 20.6375 -166.585 19.8042 -167.276 1.46743 -55.4198 2.93797 
4.6 19.9928 -170.283 1.47594 -55.5052 2.93215 20.626 -169.493 19.8888 -170.09 1.43202 -55.5601 2.94532 
4.65 20.0659 -173.059 1.43986 -55.5723 2.93215 20.1553 -172.495 19.9387 -172.949 1.39488 -55.7944 2.96869 
4.7 20.1372 -175.839 1.40461 -55.6361 2.93215 20.1715 -175.3 19.9765 -175.694 1.35078 -55.7985 2.96229 
4.75 20.2067 -178.622 1.37019 -55.6969 2.93215 20.3709 -178.41 20.0324 -178.635 1.31655 -56.0755 2.99012 
4.8 20.2746 -181.408 1.33658 -55.7547 2.93215 21.2352 -181.163 20.145 -181.63 1.29298 -56.4202 3.03071 
4.85 20.3407 -184.197 1.30377 -55.8097 2.93215 20.9873 -183.938 20.2123 -184.362 1.25264 -56.3756 3.01619 
4.9 20.4053 -186.989 1.27172 -55.8621 2.93215 20.6747 -186.662 20.2623 -187.171 1.22018 -56.4508 3.02015 
4.95 20.4682 -189.783 1.24044 -55.9119 2.93215 21.3492 -189.066 20.3414 -189.951 1.19237 -56.4905 3.01816 
5 20.5296 -192.579 1.2099 -55.9594 2.93215 21.1864 -192.555 20.4035 -192.811 1.16704 -56.6991 3.04465 
5.05 20.5895 -195.378 1.18009 -56.0045 2.93215 20.7374 -194.39 20.4614 -195.504 1.13213 -56.538 3.01601 
5.1 20.648 -198.179 1.15099 -56.0474 2.93215 21.536 -197.227 20.5335 -198.185 1.11549 -56.3162 2.97489 
5.15 20.7049 -200.983 1.12259 -56.0883 2.93215 21.1656 -200.833 20.6319 -201.125 1.10264 -56.5807 3.00548 
